qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 3 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

hart 1 starting
hart 2 starting
init: starting sh
$ usertests

1 3 44

2 3 44

3 3 44

4 3 44

5 3 44

6 3 44

7 3 44

8 3 44

9 3 44

10 3 44

11 3 44

12 3 44

13 3 44

14 3 44

15 3 44

16 3 44

17 3 44

18 3 44

19 3 44

20 3 44

21 3 44

22 3 44

23 3 44

24 3 44

25 3 44

26 3 44

27 3 44

28 3 44

29 3 44

30 3 44

31 3 44

32 3 44

33 3 44

34 3 44

35 3 44

36 3 44

37 3 44

38 3 44

39 3 44

40 3 44

41 3 44

42 3 44
usertests starting

1 4 20

43 3 44

2 4 20

44 3 44

3 4 20

45 3 44

4 4 20

46 3 44

5 4 20

47 3 44

6 4 20

48 3 44

7 4 20

49 3 44

8 4 20

50 3 44

9 4 20

51 3 44

52 3 44

10 4 20

53 3 44

11 4 20

54 3 44

55 3 44

12 4 20

56 3 44

13 4 20

14 4 20

57 3 44

15 4 20

58 3 44

16 4 20

59 3 44

60 3 44

17 4 20

61 3 44

18 4 20

62 3 44

19 4 20

63 3 44

64 3 44

20 4 20

65 3 44

21 4 20

66 3 44

67 3 44

22 4 20

68 3 44

23 4 20

69 3 44

70 3 44

24 4 20

71 3 44

25 4 20

72 3 44

26 4 20

73 3 44

74 3 44

27 4 20

75 3 44

28 4 20

76 3 44

77 3 44

29 4 20

78 3 44

30 4 20

79 3 44

80 3 44

31 4 20

81 3 44

82 3 44

83 3 44

84 3 44

85 3 44

86 3 44

87 3 44

32 4 20

88 3 44

89 3 44

33 4 20

90 3 44

34 4 20

35 4 20

91 3 44

36 4 20

92 3 44

37 4 20

93 3 44

38 4 20

94 3 44

39 4 20

95 3 44

96 3 44

40 4 20

97 3 44

98 3 44

41 4 20

99 3 44

42 4 20

100 3 44

43 4 20

101 3 44

44 4 20

102 3 44

45 4 20

103 3 44

104 3 44

46 4 20

47 4 20

105 3 44

48 4 20

106 3 44

49 4 20

107 3 44

50 4 20

108 3 44

51 4 20

109 3 44

52 4 20

110 3 44

53 4 20

111 3 44

54 4 20

112 3 44

55 4 20

113 3 44

114 3 44

56 4 20

115 3 44

116 3 44

117 3 44

118 3 44

119 3 44

57 4 20

58 4 20

120 3 44

121 3 44

59 4 20

122 3 44

60 4 20

123 3 44

61 4 20

124 3 44

62 4 20

63 4 20

125 3 44

64 4 20

126 3 44

65 4 20

127 3 44

128 3 44

66 4 20

67 4 20

129 3 44

68 4 20

130 3 44

131 3 44

69 4 20

132 3 44

70 4 20

133 3 44

71 4 20

134 3 44

72 4 20

135 3 44

136 3 44

73 4 20

137 3 44

74 4 20

138 3 44

75 4 20

76 4 20

139 3 44

140 3 44

141 3 44

77 4 20

142 3 44

78 4 20

79 4 20

143 3 44

80 4 20

144 3 44

81 4 20

145 3 44

82 4 20

146 3 44

83 4 20

147 3 44

84 4 20

148 3 44

85 4 20

149 3 44

150 3 44

86 4 20

151 3 44

87 4 20

152 3 44

88 4 20

153 3 44

89 4 20

154 3 44

155 3 44

90 4 20

156 3 44

91 4 20

157 3 44

92 4 20

158 3 44

93 4 20

159 3 44

94 4 20

160 3 44

95 4 20

161 3 44

96 4 20

162 3 44

163 3 44

97 4 20

98 4 20

164 3 44

165 3 44

166 3 44
test copyin: 
1 5 4

2 5 4

3 5 4

4 5 4

5 5 4

6 5 4

7 5 4

8 5 4

9 5 4

10 5 4

11 5 4

12 5 4

13 5 4

14 5 4

15 5 4

16 5 4

17 5 4

18 5 4

19 5 4

20 5 4

21 5 4

22 5 4

23 5 4

24 5 4

25 5 4

26 5 4

27 5 4

28 5 4

29 5 4

30 5 4

31 5 4

32 5 4

33 5 4

34 5 4

35 5 4

36 5 4

37 5 4

38 5 4

39 5 4

40 5 4

41 5 4

42 5 4

43 5 4

44 5 4

45 5 4

46 5 4

47 5 4

48 5 4

49 5 4

50 5 4

51 5 4

52 5 4

53 5 4

54 5 4

55 5 4

56 5 4

57 5 4

58 5 4

59 5 4

60 5 4

61 5 4

62 5 4

63 5 4

64 5 4

65 5 4

167 3 44
OK
test copyout: 
1 6 28

2 6 28

168 3 44
OK
test copyinstr1: 
1 7 9

169 3 44
OK
test copyinstr2: 
1 8 48

1 9 48

2 8 48

170 3 44
OK
test copyinstr3: 
1 10 45

171 3 44
OK
test rwsbrk: 
1 11 18

2 11 18

3 11 18

4 11 18

5 11 18

6 11 18

7 11 18

8 11 18

9 11 18

10 11 18

11 11 18

12 11 18

13 11 18

14 11 18

15 11 18

16 11 18

17 11 18

18 11 18

19 11 18

20 11 18

21 11 18

22 11 18

23 11 18

24 11 18

25 11 18

26 11 18

27 11 18

28 11 18

172 3 44
OK
test truncate1: 
1 12 43

2 12 43

3 12 43

4 12 43

5 12 43

6 12 43

7 12 43

8 12 43

9 12 43

10 12 43

11 12 43

12 12 43

13 12 43

14 12 43

15 12 43

16 12 43

17 12 43

18 12 43

19 12 43

20 12 43

21 12 43

22 12 43

23 12 43

24 12 43

25 12 43

26 12 43

27 12 43

28 12 43

29 12 43

30 12 43

31 12 43

32 12 43

33 12 43

34 12 43

35 12 43

36 12 43

37 12 43

38 12 43

39 12 43

40 12 43

41 12 43

42 12 43

43 12 43

44 12 43

45 12 43

173 3 44
OK
test truncate2: 
1 13 46

2 13 46

3 13 46

4 13 46

5 13 46

6 13 46

7 13 46

8 13 46

9 13 46

10 13 46

11 13 46

12 13 46

13 13 46

14 13 46

15 13 46

16 13 46

17 13 46

18 13 46

19 13 46

20 13 46

21 13 46

22 13 46

23 13 46

24 13 46
QEMU: Terminated
